seamark:light:1:sequence,10
seamark:light:2:category,2
seamark:light:2:character,2
seamark:light:2:colour,2
seamark:light:2:height,2
seamark:light:2:orientation,2
seamark:light:3:character,2
seamark:light:3:colour,2
seamark:light:3:height,2
seamark:light:3:radius,2
seamark:light:3:sector_end,2
seamark:light:3:sector_start,2
seamark:light:category,2
seamark:light:character,183
seamark:light:colour,184
seamark:light:group,15
seamark:light:height,115
seamark:light:period,149
seamark:light:range,115
seamark:light:reference,10
seamark:light:sequence,89
seamark:name,171
seamark:radar_transponder:category,2
seamark:radar_transponder:group,2
seamark:reference,204
seamark:small_craft_facility:category,9
seamark:status,21
seamark:topmark:colour,71
seamark:topmark:colour_pattern,19
seamark:topmark:shape,86
seamark:type,311
seasonal,7
seats,104
second_hand,4
segregated,363
self_service,76
ser,1
service,50693
service:bicycle:chain_tool,21
service:bicycle:diy,11
service:bicycle:pump,17
service:bicycle:rental,6
service:bicycle:repair,10
service:bicycle:retail,7
service:print,1
service_times,1
service_type,1
services,1
shape,1
shelter,1045
shelter_type,15
ship:type,3
shooting,1
shop,5299
shop:disused,1
shop_1,1
shopping,1
short_name,195
shoulder:right,21
show,25
show_names,1
shower,3
sidewalk,1001
sidewalk_1,1
sidewalk_distance,4
sign,8
sister_city,1
sister_city_1,1
site,1
skateboard,4
ski,53
sloped_curb,10
smoking,284
smoking:outside,2
smoothness,270
snowmobile,44
social_facility,115
social_facility:for,20
socket:chademo,7
socket:type1,7
socket:type1_combo,7
source,189545
source:access,90
source:addr,1
source:address,1
source:aeroway,1
source:alt_name,7
source:bicycle,259
source:bridge,1003
source:building,70
source:capacity,1
source:cycleway,603
source:date,206
source:daytime_headlight,2
source:ele,20
source:exit_to,1
source:generator,1
source:geometry,106
source:hgv,522
source:hgv:national_network,4881
source:hgv:state_network,338
source:highway,410
source:lanes,1870
source:layer,1
source:location,18
source:maxheight,151
source:maxspeed,6366
source:maxspeed:advisory,225
source:maxspeed:advisory:forward,1
source:maxspeed:backward,15
source:maxspeed:children_present,184
source:maxspeed:forward,19
source:maxspeed:forward:children_present,2
source:maxspeed:hgv,390
source:maxspeed:recommended,3
source:maxspeed:reverse,4
source:maxspeed:suggested,2
source:maxspeed:towing,380
source:maxspeed_children_present,5
source:maxweight,156
source:motor_vehicle,1
source:name,516
source:name_1,2
source:noname,11
source:official_name,76
source:old_name,2
source:oneway,129
source:opening_hours,5
source:outline,6
source:overtaking,21
source:pkey,87
source:population,1
source:position,4
source:price,3
source:private,4
source:record_book,3
source:ref,54
source:smoothness,3
source:start_date,5
source:surface,21
source:towing,15
source:tunnel,5
source:url,8
source:website,85
source_1,16
source_1:date,3
source_date,539
source_ref,50637
source_ref:access,88
source_ref:bicycle,224
source_ref:bridge,818
source_ref:cycleway,260
source_ref:daytime_headlight,2
source_ref:hgv,524
source_ref:lanes,679
source_ref:layer,1
source_ref:maxheight,149
source_ref:maxspeed,4436
source_ref:maxspeed:advisory,158
source_ref:maxspeed:backward,15
source_ref:maxspeed:children_present,189
source_ref:maxspeed:forward,19
source_ref:maxspeed:forward:children_present,2
source_ref:maxspeed:hgv,366
source_ref:maxspeed:recommended,3
source_ref:maxspeed:reverse,4
source_ref:maxspeed:suggested,2
source_ref:maxspeed:towing,356
source_ref:maxspeed_children_present,5
source_ref:maxweight,155
source_ref:name,9
source_ref:official_name,76
source_ref:old_name,2
source_ref:oneway,97
source_ref:opening_hours,5
source_ref:price,3
source_ref:private,1
source_ref:ref,53
source_ref:smoothness,3
source_ref:start_date,5
source_ref:towing,16
source_ref:tunnel,4
source_ref:url,4
source_ref_building,398
source_url,109
spaces,1
spc:cf,2
spc:conv_angle,2
spc:datum,2
spc:easting,2
spc:erf,2
spc:northing,2
spc:scale,2
spc:zone,2
species,7
sport,4828
stairs,1
stalls,2
stars,14
start_date,151
start_date:tunnel,1
state,7
state_park:state,1
stations,1
statue,1
step.condition,1
step.height,1
step.length,1
step_count,38
steps,4
stop,266
stop_id,1
stopsign,2
storage,64
store,1
store_name,2
store_number,4
store_ref,2
stories,1
stream,7
structure,268
subject,1
substation,13
supervised,178
support,3
surface,21888
surveillance,14
surveillance:type,26
survey:date,22
survey_point:duration,9
survey_ref,17
swimming_pool,3
swimming_pool:access,2
swing_gate:type,6
tactile_paving,45
tag,1
take_out,1
takeaway,79
tank:type,61
tdd,5
telescope:diameter,18
telescope:type,21
telescope:usage,2
tents,7
test_only,2
theatre,3
theatre:genre,2
theatre:type,4
tiger:ALAND,264
tiger:AREAID,264
tiger:AWATER,264
tiger:CLASSFP,186
tiger:COUNTYFP,264
tiger:CPI,186
tiger:FUNCSTAT,186
tiger:LSAD,186
tiger:MTFCC,329
tiger:NAME,186
tiger:NAMELSAD,186
tiger:PCICBSA,186
tiger:PCINECTA,186
tiger:PLACEFP,186
tiger:PLACENS,186
tiger:PLCIDFP,186
tiger:STATEFP,450
tiger:cfcc,198661
tiger:county,198918
tiger:countyfp,93
tiger:flags,93
tiger:lfromadd,7
tiger:linearid,1765
tiger:ltoadd,7
tiger:mtfcc,2111
tiger:name,1
tiger:name_base,182050
tiger:name_base_1,8885
tiger:name_base_2,726
tiger:name_base_3,38
tiger:name_base_4,18
tiger:name_direction_prefix,29577
tiger:name_direction_prefix_1,1454
tiger:name_direction_prefix_2,58
tiger:name_direction_prefix_3,2
tiger:name_direction_suffix,1304
tiger:name_direction_suffix_1,55
tiger:name_direction_suffix_2,1
tiger:name_direction_suffix_3,2
tiger:name_direction_suffix_4,1
tiger:name_directions,1
tiger:name_full,211
tiger:name_prefix,2
tiger:name_type,163171
tiger:name_type_1,5871
tiger:name_type_2,318
tiger:name_type_3,14
tiger:name_type_4,1
tiger:reviewed,115195
tiger:rfromadd,7
tiger:rtoadd,7
tiger:separated,115018
tiger:source,121900
tiger:statefp,93
tiger:tlid,121310
tiger:upload_uuid,24561
tiger:zip,3
tiger:zip_left,150734
tiger:zip_left_1,4426
tiger:zip_left_2,1142
tiger:zip_left_3,422
tiger:zip_left_4,139
tiger:zip_right,146183
tiger:zip_right_1,1769
tiger:zip_right_2,410
tiger:zip_right_3,153
tiger:zip_right_4,53
tiger:zip_right_5,1
tiger_reviewed,36
time,2
time_off,1
time_on,1
todo,1
toilets,102
toilets:access,92
toilets:barrier:key,1
toilets:disposal,59
toilets:handwashing,5
toilets:paper_supplied,5
toilets:position,7
toilets:wheelchair,10
toll,552
toll:hov,32
tomb,3
topmark,41
topmark:colour,9
topmark:shape,9
tourism,2300
towards,578
tower,1
tower:construction,2
tower:type,348
track,5
tracks,627
tracktype,2499
tract,77
tract_#,1
trade,1
traffic_calming,1681
traffic_sign,500
traffic_sign:backward,3
traffic_sign:forward,3
traffic_signals,6
traffic_signals:direction,47
traffic_signals:sound,1
trail_visibility,84
train,37
tram,2
transformer,6
transport,1
tree_type,1
trees,13
tunnel,2188
tunnel_name,5
tunnel_ref,5
turn,4
turn:lanes,418
turn:lanes:backward,106
turn:lanes:forward,112
